,,,State,Turnout Rates,,,Numerators,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,
Year,ICPSR State Code,Alphanumeric State Code,,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2006,65,29,Nevada,0.3710,0.3690,0.3110,586274,582572,1579222,1907976,0.1440,12901,13208,3518,23023,
2006,4,30,New Hampshire,0.4290,0.4140,0.3990,418550,403531,975281,1006234,0.0340,2805,0,0,2805,
2006,12,31,New Jersey,0.4060,0.3950,0.3410,2315643,2250070,5701033,6565183,0.1200,27371,132636,13874,107563,
2006,66,32,New Mexico,0.4310,0.4250,0.3860,568597,561084,1320285,1464560,0.0800,6639,16493,2831,17717,
2006,13,33,New York,0.3650,0.3490,0.3030,4703830,4490053,12878632,14665626,0.1240,63315,0,53533,116848,
2006,47,34,North Carolina,0.3250,0.3100,0.2870,2036451,1940808,6264630,6799585,0.0580,37460,110419,3101,95771,
2006,36,35,North Dakota,0.4540,0.4490,0.4410,220479,218152,486142,503647,0.0150,1363,0,0,1363,
2006,24,36,Ohio,0.4950,0.4750,0.4630,4184072,4022754,8461211,8687609,0.0220,49166,0,0,49166,
2006,53,37,Oklahoma,,0.3640,0.3430,,926462,2547224,2709819,0.0390,26243,27415,4329,44280,
2006,72,38,Oregon,0.5320,0.5250,0.4840,1399650,1379475,2628937,2829482,0.0730,13707,0,0,13707,
2006,14,39,Pennsylvania,,0.4410,0.4260,,4096077,9283762,9680466,0.0300,44397,0,0,44397,
2006,5,40,Rhode Island,0.5210,0.5100,0.4670,392882,384993,754219,824887,0.0810,3996,0,0,3996,
2006,48,41,South Carolina,0.3540,0.3460,0.3310,1117311,1091952,3152046,3332190,0.0320,23616,38353,3072,45865,
2006,37,42,South Dakota,0.5880,0.5780,0.5640,341105,335508,580592,589178,0.0140,3359,0,2444,5803,
2006,54,43,Tennessee,0.4210,0.4140,0.3950,1868363,1833695,4433921,4641909,0.0310,25745,52558,8630,60654,
2006,49,44,Texas,,0.3090,0.2580,,4399068,14255313,17029802,0.1340,172116,431967,101916,490016,
2006,67,45,Utah,0.3500,0.3430,0.3180,582561,571252,1664323,1752158,0.0710,6430,0,0,6430,
2006,6,46,Vermont,0.5500,0.5490,0.5380,263025,262726,478247,487141,0.0200,0,0,0,0,
2006,40,47,Virginia,0.4450,0.4400,0.4060,2398589,2370445,5385522,5867219,0.0670,36688,48144,4499,65259,
2006,73,48,Washington,0.4730,0.4730,0.4270,2085074,2083734,4403981,4861001,0.0800,17561,108076,11568,83167,
2006,56,49,West Virginia,0.3380,0.3280,0.3230,473014,459884,1401490,1439052,0.0070,5733,7668,1416,10983,
2006,25,50,Wisconsin,0.5370,0.5320,0.5080,2183155,2161700,4064432,4240696,0.0290,23431,55806,15907,67241,
2006,68,51,Wyoming,0.5180,0.5110,0.4940,196217,193892,379127,400187,0.0200,2114,5225,609,5336,
2004,0,0,United States,0.6070,0.6010,0.5540,123535883,122294978,203483455,220336019,0.0820,1490169,2387283,474632,3158443,3862836
2004,41,1,Alabama,0.5740,0.5720,0.5520,1890317,1883415,3292608,3427542,0.0190,26521,36795,7745,52664,
2004,81,2,Alaska,0.6960,0.6910,0.6520,314502,312598,452124,476378,0.0400,4515,5547,951,8240,
2004,61,3,Arizona,0.5480,0.5410,0.4700,2038069,2012585,3717055,4215706,0.1150,31631,69343,5671,71974,
2004,42,4,Arkansas,0.5440,0.5360,0.5100,1070573,1054945,1969208,2072986,0.0280,13477,29128,14844,42885,
2004,71,5,California,0.5960,0.5880,0.4710,12589367,12421852,21132533,26246548,0.1880,166053,0,110261,276314,
2004,62,6,Colorado,0.6730,0.6670,0.6120,2148036,2129630,3192647,3443164,0.0750,19756,0,7383,27139,
2004,1,7,Connecticut,0.6620,0.6500,0.5970,1607808,1578769,2429634,2652587,0.0730,20018,0,2552,22570,
2004,11,8,Delaware,0.6450,0.6420,0.5940,377407,375190,584817,635370,0.0470,6973,18725,539,16875,
2004,55,9,District of Columbia,0.5490,0.5430,0.4890,230105,227586,419142,458758,0.1000,0,0,0,0,
2004,43,10,Florida,0.6470,0.6440,0.5610,7640319,7609810,11811921,13643828,0.1120,84733,281170,4888,230206,
2004,44,11,Georgia,0.5640,0.5620,0.5000,3317336,3301875,5878186,6499325,0.0680,48625,419350,23344,281644,
2004,82,12,Hawaii,0.4850,0.4820,0.4410,431662,429013,889540,982882,0.0790,5946,0,0,5946,
2004,63,13,Idaho,0.6480,0.6320,0.5870,612786,598376,946160,1016255,0.0410,6312,44580,2370,30972,
2004,21,14,Illinois,0.6240,0.6150,0.5570,5350493,5274322,8576696,9391420,0.0900,44379,0,0,44379,
2004,22,15,Indiana,0.5580,0.5480,0.5300,2512142,2468002,4504260,4660157,0.0270,23760,0,0,23760,
2004,31,16,Iowa,0.7060,0.6990,0.6740,1521966,1506908,2156389,2239979,0.0260,8611,22832,3317,23344,
2004,32,17,Kansas,0.6290,0.6160,0.5830,1213108,1187756,1928764,2032763,0.0430,9152,14309,4525,20832,
2004,51,18,Kentucky,0.5940,0.5870,0.5690,1816867,1795860,3057741,3157464,0.0170,17763,33286,8006,42412,
2004,45,19,Louisiana,0.6150,0.6110,0.5850,1956590,1943106,3182762,3379937,0.0180,36745,38470,24387,80367,
2004,2,20,Maine,0.7490,0.7380,0.7260,751519,740752,1003792,1022043,0.0160,0,0,0,0,
2004,52,21,Maryland,0.6310,0.6290,0.5720,2395791,2386705,3797264,4179376,0.0720,23727,76676,14351,76416,
2004,3,22,Massachusetts,0.6460,0.6420,0.5870,2927455,2912388,4533859,4935787,0.0840,10365,0,0,10365,
2004,23,23,Michigan,0.6710,0.6660,0.6390,4875692,4839252,7263024,7508568,0.0340,48591,0,0,48591,
2004,33,24,Minnesota,0.7880,0.7840,0.7390,2842912,2828387,3609185,3819020,0.0390,8613,114226,3872,69598,
2004,46,25,Mississippi,,0.5570,0.5420,,1152365,2068766,2133681,0.0120,20429,21324,1979,33070,
2004,34,26,Missouri,0.6610,0.6530,0.6290,2764635,2731364,4180960,4339414,0.0190,30775,53832,17400,75091,
2004,64,27,Montana,0.6520,0.6440,0.6340,456096,450445,699114,711858,0.0100,3800,0,0,3800,
2004,35,28,Nebraska,0.6410,0.6290,0.5980,792906,778186,1236522,1305430,0.0400,4042,17994,805,13844,
2004,65,29,Nevada,0.5540,0.5530,0.4730,831563,829587,1501437,1776962,0.1320,10971,12521,3610,20842,
2004,4,30,New Hampshire,0.7150,0.7090,0.6840,683672,677738,956422,984422,0.0320,2441,0,0,2441,
2004,12,31,New Jersey,0.6420,0.6380,0.5520,3638153,3611691,5663201,6513394,0.1170,28107,143315,14180,113945,
2004,66,32,New Mexico,0.6040,0.5900,0.5390,775301,756304,1282767,1411419,0.0740,6341,17725,2676,17880,
2004,13,33,New York,0.5850,0.5800,0.5020,7448266,7391249,12738056,14598898,0.1260,64596,0,54524,119120,
2004,47,34,North Carolina,0.5870,0.5780,0.5390,3552449,3501007,6055771,6505150,0.0530,34917,111537,2882,93568,
2004,36,35,North Dakota,0.6550,0.6480,0.6380,316049,312833,482722,496479,0.0130,1266,0,0,1266,
2004,24,36,Ohio,0.6790,0.6680,0.6510,5722443,5627908,8427696,8624277,0.0200,44770,0,0,44770,
2004,53,37,Oklahoma,,0.5830,0.5530,,1463758,2510823,2649994,0.0340,24767,28435,4329,43314,
2004,72,38,Oregon,0.7260,0.7200,0.6680,1851671,1836782,2550887,2736472,0.0680,13219,0,0,13219,
2004,14,39,Pennsylvania,,0.6260,0.6060,,5769590,9221962,9554349,0.0270,40692,0,0,40692,
2004,5,40,Rhode Island,0.5890,0.5850,0.5290,440228,437134,747046,827513,0.0760,3701,26085,368,17112,
2004,48,41,South Carolina,0.5320,0.5300,0.5070,1626720,1617730,3055098,3198733,0.0270,24173,38856,2217,45818,
2004,37,42,South Dakota,0.6940,0.6820,0.6690,394930,388215,569161,576472,0.0140,3101,0,0,3101,
2004,54,43,Tennessee,0.5680,0.5630,0.5410,2456610,2437319,4328446,4496929,0.0260,25834,47392,8410,57940,
2004,49,44,Texas,,0.5370,0.4540,,7410765,13796256,16284659,0.1250,169110,428773,102072,485569,
2004,67,45,Utah,0.5980,0.5890,0.5470,942010,927844,1574463,1664066,0.0680,5802,0,0,5802,
2004,6,46,Vermont,0.6670,0.6630,0.6500,314220,312309,470754,480053,0.0210,0,0,0,0,
2004,40,47,Virginia,0.6110,0.6060,0.5620,3223156,3198367,5277156,5699175,0.0620,35472,43470,4392,61599,
2004,73,48,Washington,0.6750,0.6690,0.6080,2883499,2859084,4272914,4683829,0.0740,16559,125222,120,79290,
2004,56,49,West Virginia,0.5510,0.5410,0.5340,769645,755887,1396545,1425689,0.0060,4980,6977,1216,9685,
2004,25,50,Wisconsin,0.7530,0.7480,0.7160,3016288,2997007,4006948,4172068,0.0270,22905,54970,13883,64273,
2004,68,51,Wyoming,0.6630,0.6570,0.6370,245789,243428,370785,386796,0.0170,1923,4418,563,4695,
2002,0,0,United States,0.4050,0.3950,0.3630,80295249,78381943,198381939,215461549,0.0800,1456927,2451708,485282,3168063,3308145
2002,41,1,Alabama,,0.4150,0.4040,,1364602,3285643,3371451,0.0180,28440,39713,5309,53606,
2002,81,2,Alaska,0.5450,0.5420,0.5100,232852,231484,427337,457154,0.0380,4431,5229,900,7946,
2002,61,3,Arizona,0.3670,0.3590,0.3070,1255615,1226111,3419481,3998148,0.1110,30741,66485,4587,68571,
2002,42,4,Arkansas,0.4170,0.4130,0.3970,814176,805696,1951568,2031787,0.0260,12378,27377,12128,38195,
2002,71,5,California,0.3730,0.3610,0.2900,7738821,7476351,20733192,25622609,0.1880,163361,0,113185,276546,
2002,62,6,Colorado,0.4660,0.4630,0.4200,1424029,1416093,3056465,3362098,0.0720,19085,0,6215,25300,
2002,1,7,Connecticut,0.4510,0.4230,0.3890,1090756,1022942,2418037,2617814,0.0710,20525,0,2186,22711,
2002,11,8,Delaware,,0.4110,0.3790,,232314,564938,612919,0.0440,6879,20201,551,17531,
2002,55,9,District of Columbia,,0.3010,0.2710,,124228,412062,458631,0.1000,0,0,0,0,
2002,43,10,Florida,0.4590,0.4560,0.3950,5143674,5100581,11194391,13005435,0.1090,80352,291315,5223,231233,
2002,44,11,Georgia,,0.3540,0.3220,,2031604,5731983,6287215,0.0650,47004,367349,20822,251501,
2002,82,12,Hawaii,0.4420,0.4380,0.4020,385462,382110,872992,950520,0.0800,5635,0,0,5635,
2002,63,13,Idaho,0.4520,0.4470,0.4200,416533,411477,921256,970916,0.0400,5825,31361,1961,23467,
2002,21,14,Illinois,0.4280,0.4140,0.3770,3651808,3538883,8540965,9302571,0.0890,43186,0,0,43186,
2002,22,15,Indiana,,0.3390,0.3330,,1521353,4494191,4587747,0.0260,22576,0,0,22576,
2002,31,16,Iowa,0.4870,0.4790,0.4570,1040201,1023075,2136683,2214936,0.0250,8395,19970,2787,21167,
2002,32,17,Kansas,0.4490,0.4400,0.4140,851966,835692,1897261,2007407,0.0410,9009,15217,3990,20608,
2002,51,18,Kentucky,,0.3720,0.3640,,1131313,3044267,3100972,0.0170,16377,24480,5968,34585,
2002,45,19,Louisiana,0.4010,0.3940,0.3780,1267225,1246333,3163663,3312330,0.0170,36091,36257,23049,77269,
2002,2,20,Maine,,0.5080,0.5010,,505190,995056,1001796,0.0160,0,0,0,0,
2002,52,21,Maryland,0.4680,0.4630,0.4160,1721626,1704560,3678346,4082694,0.0690,24186,81982,13271,78448,
2002,3,22,Massachusetts,0.4980,0.4920,0.4440,2220301,2194189,4458820,4919958,0.0820,10511,0,0,10511,
2002,23,23,Michigan,0.4500,0.4450,0.4230,3219864,3177565,7147888,7445335,0.0340,49524,0,0,49524,
2002,33,24,Minnesota,,0.6410,0.5970,,2254639,3518184,3745577,0.0380,7612,122692,3577,72535,
2002,46,25,Mississippi,,0.3010,0.2920,,615609,2047426,2099698,0.0110,20542,16633,1816,30675,
2002,34,26,Missouri,,0.4560,0.4390,,1877620,4116889,4262146,0.0190,30649,54584,13533,71474,
2002,64,27,Montana,0.4970,0.4840,0.4770,340272,331321,684572,690652,0.0100,3440,0,0,3440,
2002,35,28,Nebraska,,0.3990,0.3730,,480991,1204512,1285024,0.0380,4103,16468,574,12911,
2002,65,29,Nevada,0.3680,0.3620,0.3110,512433,504079,1391100,1640679,0.1270,10527,12290,3971,20643,
2002,4,30,New Hampshire,0.4870,0.4810,0.4600,453078,447135,930362,960401,0.0300,2483,0,0,2483,
2002,12,31,New Jersey,0.3890,0.3810,0.3260,2161105,2112604,5549726,6448445,0.1150,28213,134290,12576,107934,
2002,66,32,New Mexico,0.4000,0.3860,0.3570,502230,484229,1255086,1360130,0.0700,6173,16287,1962,16279,
2002,13,33,New York,0.3700,0.3610,0.3140,4690968,4579078,12679865,14504792,0.1260,65914,0,55990,121904,
2002,47,34,North Carolina,,0.3970,0.3720,,2331181,5876705,6314679,0.0500,33334,112900,2805,92589,
2002,36,35,North Dakota,0.4980,0.4850,0.4760,237224,231030,476251,486797,0.0120,1168,0,0,1168,
2002,24,36,Ohio,0.4030,0.3880,0.3760,3356285,3228992,8322521,8556557,0.0190,45831,0,0,45831,
2002,53,37,Oklahoma,,0.4120,0.3960,,1035620,2513143,2610016,0.0330,23004,29881,3573,41518,
2002,72,38,Oregon,0.5180,0.5080,0.4720,1293756,1267221,2495739,2674581,0.0670,12422,0,0,12422,
2002,14,39,Pennsylvania,,0.3880,0.3730,,3545431,9143001,9454338,0.0260,40545,0,0,40545,
2002,5,40,Rhode Island,0.4540,0.4470,0.4010,337027,331834,741776,819310,0.0740,3569,25914,384,16910,
2002,48,41,South Carolina,,0.3690,0.3560,,1102010,2982810,3100548,0.0260,24247,41574,3491,48525,
2002,37,42,South Dakota,0.6120,0.6070,0.5970,340407,337497,556154,564305,0.0130,3059,0,0,3059,
2002,54,43,Tennessee,,0.3960,0.3730,,1644741,4151834,4393757,0.0250,25409,42712,7949,54714,
2002,49,44,Texas,0.3450,0.3420,0.2880,4552059,4514012,13181016,15718593,0.1210,164222,434486,103068,484533,
2002,67,45,Utah,0.3780,0.3700,0.3500,568290,557153,1504529,1601707,0.0650,5594,0,0,5594,
2002,6,46,Vermont,0.4940,0.4880,0.4810,232993,230161,471403,472402,0.0210,0,0,0,0,
2002,40,47,Virginia,0.3230,0.2900,0.2690,1661915,1489422,5138270,5536511,0.0600,34733,40359,4530,59443,
2002,73,48,Washington,0.4350,0.4180,0.3790,1808720,1739116,4162032,4553733,0.0730,16284,171603,95,102181,
2002,56,49,West Virginia,0.3150,0.3120,0.3080,440156,436183,1398124,1413580,0.0060,4703,6430,999,8917,
2002,25,50,Wisconsin,,0.4540,0.4320,,1775349,3908088,4094028,0.0260,22366,54614,11088,60761,
2002,68,51,Wyoming,0.5080,0.5010,0.4920,188028,185459,370488,376121,0.0160,1809,4596,570,4677,
2000,0,0,United States,0.5530,0.5420,0.5000,107390107,105375486,194331436,210623408,0.0770,1377013,2339388,536039,3082746,2937000
2000,41,1,Alabama,,0.5160,0.5010,,1672551,3241682,3334576,0.0150,26225,40178,5484,51798,
2000,81,2,Alaska,0.6870,0.6810,0.6500,287825,285560,419111,440296,0.0340,4173,4779,525,7088,
2000,61,3,Arizona,0.4640,0.4560,0.4020,1559520,1532016,3357701,3816498,0.1030,26510,59810,3474,59889,
2000,42,4,Arkansas,,0.4790,0.4600,,921781,1925961,2001774,0.0230,11915,28409,8659,34779,
2000,71,5,California,0.5660,0.5570,0.4410,11142843,10965849,19685258,24867252,0.1880,163001,0,117647,280648,
2000,62,6,Colorado,,0.5750,0.5370,,1741368,3026316,3246521,0.0670,16833,0,5500,22333,
2000,1,7,Connecticut,0.6250,0.6190,0.5660,1474103,1459525,2357687,2575243,0.0660,18355,47636,1868,44041,
2000,11,8,Delaware,,0.5900,0.5490,,327529,554863,594256,0.0390,6921,20052,579,17526,
2000,55,9,District of Columbia,,0.4830,0.4390,,201355,416696,458301,0.1020,7456,0,0,7456,
2000,43,10,Florida,0.5750,0.5590,0.4790,6138765,5963110,10667193,12475387,0.1040,71319,296139,5982,225371,
2000,44,11,Georgia,0.4760,0.4580,0.4240,2684951,2583208,5639668,6087332,0.0590,44232,321407,21556,226492,
2000,82,12,Hawaii,0.4460,0.4420,0.3990,371113,367951,832642,923737,0.0810,5053,0,0,5053,
2000,63,13,Idaho,0.5890,0.5720,0.5350,516647,501615,877406,935443,0.0380,5535,35103,1409,24496,
2000,21,14,Illinois,0.5850,0.5620,0.5140,4932192,4742123,8432600,9208908,0.0870,45281,0,0,45281,
2000,22,15,Indiana,0.5080,0.4930,0.4830,2246003,2182295,4424909,4527523,0.0230,20125,0,0,20125,
2000,31,16,Iowa,,0.6320,0.5960,,1315563,2082950,2199529,0.0240,7955,21147,2763,21292,
2000,32,17,Kansas,0.5670,0.5560,0.5400,1092716,1072216,1927950,1983933,0.0390,8344,0,3829,12173,
2000,51,18,Kentucky,0.5310,0.5220,0.5040,1568058,1544107,2955628,3059582,0.0150,14919,19620,4614,29343,
2000,45,19,Louisiana,0.5670,0.5640,0.5420,1776133,1765656,3130267,3260060,0.0160,35207,35854,22860,75994,
2000,2,20,Maine,,0.6720,0.6640,,651817,969292,979314,0.0150,0,0,0,0,
2000,52,21,Maryland,0.5580,0.5550,0.5100,2036455,2025480,3649631,3972224,0.0640,23538,81523,13666,77966,
2000,3,22,Massachusetts,0.6060,0.5990,0.5540,2736006,2704984,4517052,4870470,0.0800,0,0,0,0,
2000,23,23,Michigan,0.6050,0.5990,0.5730,4279299,4232501,7070702,7370524,0.0330,47718,0,0,47718,
2000,33,24,Minnesota,0.7010,0.6950,0.6640,2458303,2438657,3506432,3662005,0.0370,6238,115906,3072,67263,
2000,46,25,Mississippi,,0.4910,0.4780,,994184,2024650,2076861,0.0100,20241,15118,1596,29396,
2000,34,26,Missouri,,0.5820,0.5620,,2359892,4052255,4190073,0.0180,27382,53299,12563,66595,
2000,64,27,Montana,0.6260,0.6160,0.6060,417916,410986,667525,676065,0.0090,3105,0,0,3105,
2000,35,28,Nebraska,0.5780,0.5690,0.5500,707223,696983,1224178,1266496,0.0340,3895,21483,476,15113,
2000,65,29,Nevada,0.4560,0.4520,0.4020,613360,608970,1346116,1523209,0.1180,10063,12189,4056,20214,
2000,4,30,New Hampshire,0.6500,0.6390,0.6070,578656,569081,890622,934176,0.0270,2257,0,0,2257,
2000,12,31,New Jersey,0.5880,0.5690,0.5010,3293378,3187226,5601788,6356954,0.1100,29784,130610,11709,106798,
2000,66,32,New Mexico,0.4990,0.4850,0.4540,615607,598605,1234088,1318129,0.0640,5342,10461,1670,12243,
2000,13,33,New York,0.5620,0.5510,0.4750,6960215,6821999,12380208,14344348,0.1270,70198,0,57858,128056,
2000,47,34,North Carolina,0.5250,0.5070,0.4750,3015964,2911262,5744241,6143214,0.0460,31532,105949,3352,87859,
2000,36,35,North Dakota,0.6110,0.6030,0.5970,292249,288256,477968,482078,0.0120,1076,0,0,1076,
2000,24,36,Ohio,0.5780,0.5670,0.5540,4795989,4705457,8295592,8487355,0.0180,45833,0,0,45833,
2000,53,37,Oklahoma,,0.4990,0.4800,,1234229,2475220,2568304,0.0290,23181,30969,1825,40491,
2000,72,38,Oregon,0.6590,0.6490,0.5910,1559215,1533968,2364402,2595354,0.0640,10580,0,0,10580,
2000,14,39,Pennsylvania,,0.5410,0.5230,,4912185,9086897,9375146,0.0240,36847,0,0,36847,
2000,5,40,Rhode Island,0.5470,0.5420,0.5070,412074,408783,753877,804417,0.0690,3286,20922,331,14078,
2000,48,41,South Carolina,0.4870,0.4700,0.4570,1433533,1382717,2944326,3025380,0.0220,21778,44632,4378,48472,
2000,37,42,South Dakota,0.5870,0.5770,0.5690,322159,316269,548498,554875,0.0120,2616,0,0,2616,
2000,54,43,Tennessee,0.5050,0.4990,0.4810,2100241,2076181,4162996,4316391,0.0220,22166,40682,8093,50600,
2000,49,44,Texas,0.4920,0.4920,0.4240,6407637,6407037,13033081,15138468,0.1140,166719,441848,111719,499362,
2000,67,45,Utah,0.5480,0.5380,0.5030,784582,770754,1431668,1534950,0.0610,5632,0,0,5632,
2000,6,46,Vermont,0.6470,0.6410,0.6310,297146,294308,459174,463503,0.0200,0,0,0,0,
2000,40,47,Virginia,0.5500,0.5400,0.5090,2789808,2739447,5069265,5389008,0.0560,30168,33955,5148,52294,
2000,73,48,Washington,0.6140,0.6070,0.5620,2517028,2487433,4098044,4419907,0.0690,14915,154466,160,92308,
2000,56,49,West Virginia,,0.4660,0.4610,,648124,1390365,1405021,0.0060,3856,6216,1112,8076,
2000,25,50,Wisconsin,,0.6760,0.6450,,2598607,3842044,4016401,0.0240,20612,53242,9923,57156,
2000,68,51,Wyoming,0.6140,0.5920,0.5820,221685,213726,361078,366639,0.0150,1680,4115,514,4252,
1998,0,0,United States,0.3930,0.3810,0.3530,74825832,72537000,190419570,205313182,0.0730,1285469,2236975,515924,2919881,2937000
1998,41,1,Alabama,,0.4120,0.4000,,1317842,3202052,3293917,0.0130,22676,40379,5221,48087,
1998,81,2,Alaska,0.5560,0.5460,0.5200,227156,223300,408758,429317,0.0320,4097,4274,478,6712,
1998,61,3,Arizona,0.3210,0.3150,0.2800,1037550,1017616,3232815,3628841,0.0940,25311,51329,3742,54718,
1998,42,4,Arkansas,,0.3750,0.3620,,706011,1882181,1951741,0.0190,10638,28698,6979,31966,
1998,71,5,California,0.4470,0.4350,0.3500,8617649,8381871,19264556,23980067,0.1850,161904,0,108424,270328,
1998,62,6,Colorado,,0.4610,0.4300,,1327235,2879973,3085075,0.0600,14312,0,5204,19516,
1998,1,7,Connecticut,0.4370,0.4270,0.3930,1022453,999537,2340956,2544417,0.0620,17605,55000,1396,46501,
1998,11,8,Delaware,,0.3340,0.3130,,180527,540896,576849,0.0340,5558,20030,572,16145,
1998,55,9,District of Columbia,0.3450,0.3400,0.2990,137523,135501,398318,452668,0.0980,9829,0,0,9829,
1998,43,10,Florida,0.3840,0.3740,0.3300,4070262,3965751,10590870,12001902,0.1000,67224,283965,6487,215694,
1998,44,11,Georgia,0.3460,0.3370,0.3080,1842145,1792880,5326337,5828114,0.0520,39262,278669,20482,199079,
1998,82,12,Hawaii,0.4960,0.4900,0.4480,412520,407556,832172,910645,0.0810,4924,0,0,4924,
1998,63,13,Idaho,0.4580,0.4520,0.4250,386720,381248,843914,896422,0.0350,4083,31172,1309,20978,
1998,21,14,Illinois,0.4270,0.4100,0.3740,3541379,3394521,8285614,9070725,0.0820,43051,0,0,43051,
1998,22,15,Indiana,0.3720,0.3650,0.3560,1618689,1588617,4348730,4457578,0.0200,19197,0,0,19197,
1998,31,16,Iowa,0.4610,0.4530,0.4390,973032,956415,2112132,2176940,0.0210,7394,18447,2194,18812,
1998,32,17,Kansas,0.3970,0.3880,0.3720,743288,727236,1873438,1955236,0.0350,8183,0,6025,14208,
1998,51,18,Kentucky,0.4150,0.3910,0.3820,1215053,1145414,2930780,2999287,0.0130,14987,17594,4508,28292,
1998,45,19,Louisiana,0.3200,0.3130,0.3010,990243,969165,3097660,3216121,0.0160,32228,33028,18759,67501,
1998,2,20,Maine,,0.5160,0.5080,,486808,943577,957916,0.0150,0,0,0,0,
1998,52,21,Maryland,0.4360,0.4300,0.3960,1556994,1535978,3571087,3879108,0.0600,22572,78051,15528,77126,
1998,3,22,Massachusetts,0.4370,0.4300,0.3970,1935277,1903336,4430939,4793966,0.0760,0,0,0,0,
1998,23,23,Michigan,0.4490,0.4340,0.4170,3143432,3036886,7005306,7276123,0.0310,45879,0,0,45879,
1998,33,24,Minnesota,0.6230,0.6190,0.5880,2105343,2091766,3378089,3555108,0.0330,5572,100818,2995,58976,
1998,46,25,Mississippi,,0.2760,0.2700,,550694,1995283,2038324,0.0090,16678,11530,1489,23932,
1998,34,26,Missouri,,0.3960,0.3840,,1576857,3978146,4106478,0.0170,24974,49992,10366,60336,
1998,64,27,Montana,0.5180,0.5070,0.5000,338733,331551,653998,662582,0.0090,2734,0,0,2734,
1998,35,28,Nebraska,0.4860,0.4550,0.4370,581775,545238,1197953,1247656,0.0300,3676,16527,624,12564,
1998,65,29,Nevada,0.3570,0.3530,0.3110,440042,435790,1233386,1402851,0.1070,9651,12561,4055,19987,
1998,4,30,New Hampshire,0.3760,0.3630,0.3530,330555,318940,878508,903630,0.0250,2169,0,0,2169,
1998,12,31,New Jersey,0.3440,0.3290,0.2900,1894496,1813094,5505229,6261197,0.1030,31121,129377,13218,109028,
1998,66,32,New Mexico,0.4310,0.4160,0.3880,517355,498703,1199320,1286104,0.0580,4985,10397,1773,11957,
1998,13,33,New York,0.4070,0.3860,0.3350,4989877,4735236,12263356,14139223,0.1240,70001,0,59548,129549,
1998,47,34,North Carolina,,0.3580,0.3380,,2012143,5624292,5948653,0.0390,31961,105227,5806,90381,
1998,36,35,North Dakota,0.4570,0.4490,0.4430,217584,213358,475629,481790,0.0110,915,0,0,915,
1998,24,36,Ohio,0.4290,0.4130,0.4040,3534782,3404351,8237516,8424249,0.0160,48450,0,0,48450,
1998,53,37,Oklahoma,,0.3620,0.3470,,873585,2415036,2518285,0.0260,20892,29093,1532,36971,
1998,72,38,Oregon,0.4900,0.4720,0.4420,1160400,1117747,2370381,2526500,0.0580,8927,0,0,8927,
1998,14,39,Pennsylvania,,0.3330,0.3250,,3025152,9075961,9314795,0.0220,36377,0,0,36377,
1998,5,40,Rhode Island,0.4280,0.4230,0.3880,309835,306445,723772,790726,0.0660,3445,21049,432,14402,
1998,48,41,South Carolina,0.3870,0.3810,0.3670,1092430,1077135,2825173,2931120,0.0190,21764,46482,4404,49409,
1998,37,42,South Dakota,0.4980,0.4900,0.4830,266355,262111,534711,543074,0.0110,2422,0,0,2422,
1998,54,43,Tennessee,0.2510,0.2390,0.2310,1026017,976236,4092745,4217608,0.0190,17738,38924,7605,44805,
1998,49,44,Texas,,0.2990,0.2580,,3738078,12490423,14504988,0.1060,144510,443688,109820,476174,
1998,67,45,Utah,0.3670,0.3580,0.3370,506553,494909,1381989,1467078,0.0550,4453,0,0,4453,
1998,6,46,Vermont,0.5040,0.4900,0.4810,224382,218120,444772,453574,0.0190,0,0,0,0,
1998,40,47,Virginia,,0.2340,0.2200,,1148861,4900523,5222121,0.0520,30276,30576,6700,52264,
1998,73,48,Washington,0.4930,0.4840,0.4430,1939421,1902482,3930400,4294765,0.0640,14161,152140,375,90606,
1998,56,49,West Virginia,0.2920,0.2530,0.2500,405139,351277,1388176,1403549,0.0050,3478,6511,975,7709,
1998,25,50,Wisconsin,,0.4630,0.4460,,1760836,3801514,3945060,0.0220,18613,54232,9282,55011,
1998,68,51,Wyoming,0.5100,0.4990,0.4870,178401,174888,350136,359119,0.0140,1571,3825,448,3932,
1996,0,0,United States,,0.5170,0.4810,,96262935,186347044,200015917,0.0680,1162253,1865990,491165,2586413,2499256
1996,41,1,Alabama,,0.4880,0.4750,,1534349,3144249,3227688,0.0120,21760,37865,4966,45659,
1996,81,2,Alaska,0.6070,0.5980,0.5700,245212,241620,404180,423702,0.0310,3716,3999,642,6358,
1996,61,3,Arizona,0.4650,0.4560,0.4110,1431342,1404405,3079908,3414380,0.0840,22493,40607,3785,46582,
1996,42,4,Arkansas,,0.4790,0.4650,,884262,1844689,1903094,0.0160,9407,25178,5459,27455,
1996,71,5,California,0.5500,0.5370,0.4340,10263490,10019484,18644593,23076427,0.1810,146049,0,99578,245627,
1996,62,6,Colorado,,0.5450,0.5140,,1510704,2770252,2939929,0.0520,12483,0,3294,15777,
