,,,State,Turnout Rates,,,Numerators,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,
Year,ICPSR State Code,Alphanumeric State Code,,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2012,21,14,Illinois,0.5933,0.5890,0.5334,5279752,5242014,8899143,9827043,0.0894,49348,0,0,49348,
2012,22,15,Indiana,0.5602,0.5520,0.5291,2663368,2624534,4754726,4960376,0.0356,28831,0,0,28831,
2012,31,16,Iowa,0.7062,0.7027,0.6715,1589951,1582180,2251485,2356209,0.0320,8733,29333,5151,29430,
2012,32,17,Kansas,0.5825,0.5695,0.5347,1182771,1156254,2030350,2162442,0.0501,9682,17021,5126,23829,
2012,51,18,Kentucky,0.5624,0.5566,0.5335,1815843,1797212,3228938,3368684,0.0221,22110,54511,14419,65420,
2012,45,19,Louisiana,0.6083,0.6022,0.5704,2014548,1994065,3311501,3495847,0.0267,40172,41298,28946,91006,
2012,2,20,Maine,0.6929,0.6818,0.6698,724758,713180,1046008,1064779,0.0176,0,0,0,0,
2012,52,21,Maryland,0.6729,0.6663,0.5945,2734062,2707327,4062931,4553853,0.0889,21522,96640,13195,85936,
2012,3,22,Massachusetts,0.6622,0.6588,0.6018,3184196,3167767,4808650,5263550,0.0843,11308,0,0,11308,
2012,23,23,Michigan,0.6538,0.6470,0.6204,4780701,4730961,7312108,7625576,0.0354,43636,0,0,43636,
2012,33,24,Minnesota,0.7642,0.7606,0.7137,2950780,2936561,3861043,4114820,0.0439,9938,108157,6006,73267,
2012,46,25,Mississippi,,0.5933,0.5722,,1285584,2166811,2246931,0.0154,22319,30768,6804,45430,
2012,34,26,Missouri,,0.6221,0.5957,,2757323,4432424,4628500,0.0248,31247,55470,20672,81318,
2012,64,27,Montana,0.6352,0.6250,0.6163,491966,484048,774459,785454,0.0094,3609,0,0,3609,
2012,35,28,Nebraska,0.6108,0.6033,0.5688,804245,794379,1316676,1396507,0.0474,4705,14260,1383,13646,
2012,65,29,Nevada,0.5645,0.5635,0.4819,1016664,1014918,1800969,2105976,0.1333,12883,11321,5379,24262,
2012,4,30,New Hampshire,0.7093,0.7016,0.6784,718700,710972,1013302,1047978,0.0304,2790,0,0,2790,
2012,12,31,New Jersey,0.6226,0.6153,0.5316,3683638,3640292,5916716,6847503,0.1215,23225,114886,14987,99102,
2012,66,32,New Mexico,0.5476,0.5457,0.4981,786522,783757,1436189,1573400,0.0725,6727,21381,5078,23137,
2012,13,33,New York,0.5352,0.5311,0.4611,7128852,7074723,13319786,15344671,0.1254,54210,0,46222,100432,
2012,47,34,North Carolina,0.6539,0.6486,0.6010,4542488,4505372,6946385,7496980,0.0611,37136,96070,4359,92412,
2012,36,35,North Dakota,0.6038,0.5984,0.5866,325564,322627,539152,549955,0.0169,1512,0,0,1512,
2012,24,36,Ohio,0.6512,0.6453,0.6273,5632423,5580822,8648932,8896930,0.0222,50876,0,0,50876,
2012,53,37,Oklahoma,,0.4920,0.4627,,1334872,2713268,2885093,0.0453,25225,25506,2310,41053,
2012,72,38,Oregon,0.6422,0.6312,0.5865,1820507,1789270,2834868,3050747,0.0659,14840,0,0,14840,
2012,14,39,Pennsylvania,,0.5950,0.5721,,5742040,9650361,10037099,0.0334,51125,0,0,51125,
2012,5,40,Rhode Island,,0.5802,0.5342,,446049,768849,834983,0.0752,3318,0,0,3318,
2012,48,41,South Carolina,0.5684,0.5634,0.5363,1981516,1964118,3486345,3662322,0.0352,22388,34945,6116,47025,
2012,37,42,South Dakota,0.6007,0.5934,0.5761,368270,363815,613114,631472,0.0189,3650,0,2761,6411,
2012,54,43,Tennessee,0.5234,0.5191,0.4941,2478870,2458577,4735808,4976284,0.0331,28411,64430,13138,75697,
2012,49,44,Texas,,0.4962,0.4167,,7993851,16111165,19185395,0.1345,166372,405473,112288,493561,
2012,67,45,Utah,0.5613,0.5551,0.5141,1028786,1017440,1832988,1978956,0.0702,6962,0,0,6962,
2012,6,46,Vermont,0.6117,0.6066,0.5959,301793,299290,493355,502242,0.0177,0,0,0,0,
2012,40,47,Virginia,0.6665,0.6607,0.6071,3888186,3854489,5834057,6348827,0.0705,37044,52956,1983,67094,
2012,73,48,Washington,0.6581,0.6483,0.5864,3172939,3125516,4821144,5329782,0.0817,17271,88339,8895,72986,
2012,56,49,West Virginia,,0.4633,0.4553,,670438,1447048,1472642,0.0081,7070,8573,2052,13666,
2012,25,50,Wisconsin,,0.7291,0.6946,,3068434,4208757,4417273,0.0320,22600,46328,20023,67177,
2012,68,51,Wyoming,0.5897,0.5859,0.5638,250701,249061,425101,441726,0.0247,2204,5162,762,5702,
2010,0,0,United States,0.4180,0.4090,0.3780,90912015,89099476,217647046,236022989,0.0850,1608162,1321051,629644,3244035,4972217
2010,41,1,Alabama,0.4330,0.4300,0.4080,1503232,1494273,3472759,3661784,0.0280,31764,50622,9006,86889,
2010,81,2,Alaska,0.5290,0.5190,0.4850,261128,256192,493785,528744,0.0400,5597,6959,2089,13601,
2010,61,3,Arizona,0.4150,0.4100,0.3590,1750840,1727791,4214306,4807398,0.1030,40130,52316,7993,96443,
2010,42,4,Arkansas,0.3790,0.3750,0.3530,789773,781333,2081313,2216171,0.0370,16204,26995,21106,53752,
2010,71,5,California,0.4580,0.4400,0.3580,10529134,10095485,22964703,28167234,0.1770,165062,0,105133,217629,
2010,62,6,Colorado,0.5170,0.5060,0.4650,1828323,1787730,3534310,3843619,0.0730,22815,0,11014,28322,
2010,1,7,Connecticut,0.4590,0.4590,0.4170,1153872,1153115,2513749,2765843,0.0840,19321,0,2894,20768,
2010,11,8,Delaware,0.4890,0.4750,0.4410,316754,307402,647260,696940,0.0550,6598,4448,560,11326,
2010,55,9,District of Columbia,0.2960,0.2890,0.2620,135846,132656,458619,506765,0.0950,0,0,0,0,
2010,43,10,Florida,0.4220,0.4170,0.3630,5473787,5411106,12967546,14916066,0.1120,104306,165760,4093,272113,
2010,44,11,Georgia,0.4060,0.3980,0.3550,2623035,2576161,6466567,7255919,0.0740,56432,185286,25091,254264,
2010,82,12,Hawaii,0.4030,0.3990,0.3600,386302,382563,959630,1062593,0.0910,5912,0,0,5912,
2010,63,13,Idaho,0.4290,0.4230,0.3940,459079,452535,1069609,1147210,0.0470,7431,13721,3957,23131,
2010,21,14,Illinois,0.4310,0.4240,0.3830,3792770,3729989,8800933,9735944,0.0910,48418,0,0,48418,
2010,22,15,Indiana,0.3810,0.3710,0.3560,1791832,1744481,4697658,4896656,0.0350,28028,0,0,28028,
2010,31,16,Iowa,0.5070,0.4990,0.4790,1133429,1116063,2234695,2328262,0.0320,9455,8862,3197,19916,
